GlobalNodeID,velocity:0,velocity:1,velocity:2,Points:0,Points:1,Points:2
1555,-0,0,0,115.95,112.452,96.9351
1554,-0.447011,0.166074,-0.342085,115.925,112.435,96.9595
1556,-0.511236,0.189935,-0.391235,115.949,112.455,96.9366
1558,-0,0,0,115.926,112.433,96.9582
1801,-0.528149,0.196219,-0.404178,117.055,116.572,97.5579
1803,-0,0,0,117.072,116.55,97.5253
1804,-0.479033,0.177971,-0.366591,117.071,116.548,97.5262
1805,-0,0,0,117.057,116.575,97.5567
2299,-0.59578,0.221345,-0.455935,116.113,116.873,98.9039
2300,-0.496511,0.184464,-0.379966,116.082,116.866,98.9411
2303,-0,0,0,116.114,116.877,98.9049
2304,-0,0,0,116.082,116.869,98.9419
2307,-0,0,0,116.897,116.74,97.8395
2306,-0.409637,0.152189,-0.313484,116.915,116.723,97.8093
2308,-0.511552,0.190053,-0.391477,116.896,116.737,97.84
2310,-0,0,0,116.916,116.726,97.8088
2561,-0.555685,0.206449,-0.425251,114.355,114.484,100.042
2565,-0,0,0,114.353,114.484,100.044
2575,-0.671061,0.249314,-0.513545,115.988,116.832,99.0445
2576,-0.549699,0.204225,-0.42067,115.958,116.82,99.0768
2579,-0,0,0,115.988,116.836,99.0459
2580,-0,0,0,115.958,116.823,99.078
2599,-0,0,0,117.111,114.478,96.4149
2598,-0.578622,0.21497,-0.442804,117.091,114.428,96.4129
2600,-0.588527,0.218651,-0.450384,117.109,114.478,96.4173
2602,-0,0,0,117.093,114.427,96.4107
2603,-0.494047,0.183549,-0.378081,117.297,115.323,96.6267
2604,-0.581762,0.216137,-0.445207,117.299,115.368,96.6465
2607,-0,0,0,117.298,115.324,96.6249
2608,-0,0,0,117.301,115.368,96.6443
2615,-0,0,0,114.342,114.434,100.035
2616,-0.567658,0.210897,-0.434413,114.344,114.434,100.033
2910,-0.462232,0.171729,-0.353734,117.179,116.316,97.2775
2914,-0,0,0,117.18,116.318,97.2762
3223,-0.544333,0.202231,-0.416563,117.055,114.332,96.4069
3225,-0,0,0,117.039,114.287,96.4039
3226,-0.524061,0.1947,-0.40105,117.037,114.288,96.406
3227,-0,0,0,117.057,114.332,96.4047
3673,-0.611287,0.227106,-0.467802,114.231,113.665,99.8102
3675,-0,0,0,114.233,113.709,99.8288
3676,-0.561681,0.208677,-0.429839,114.235,113.71,99.8267
3677,-0,0,0,114.229,113.665,99.8126
3691,-0.492926,0.183133,-0.377223,114.526,112.401,98.8157
3693,-0,0,0,114.506,112.423,98.8527
3694,-0.505533,0.187817,-0.386871,114.508,112.426,98.852
3695,-0,0,0,114.525,112.399,98.8162
3761,-0,0,0,114.289,114.108,99.9499
3760,-0.415473,0.154357,-0.31795,114.299,114.154,99.9592
3762,-0.519459,0.19299,-0.397528,114.291,114.109,99.9478
3764,-0,0,0,114.297,114.153,99.9609
3839,-0.551328,0.20483,-0.421917,114.379,112.817,99.2144
3840,-0.479392,0.178105,-0.366866,114.387,112.781,99.1854
3843,-0,0,0,114.377,112.816,99.216
3844,-0,0,0,114.386,112.779,99.1868
3897,-0,0,0,117.312,115.538,96.7175
3896,-0.477003,0.177217,-0.365038,117.31,115.496,96.6993
3898,-0.535125,0.19881,-0.409517,117.31,115.537,96.7195
3900,-0,0,0,117.311,115.497,96.6975
3953,-0.594407,0.220835,-0.454884,116.673,116.864,98.1854
3955,-0,0,0,116.699,116.857,98.1481
3956,-0.817408,0.303685,-0.62554,116.698,116.853,98.1483
3957,-0,0,0,116.674,116.867,98.1853
4229,-0.485575,0.180402,-0.371597,116.05,112.544,96.8417
4230,-0.492223,0.182872,-0.376685,116.077,112.57,96.8181
4233,-0,0,0,116.051,112.542,96.8401
4234,-0,0,0,116.078,112.568,96.8164
4595,-0.48081,0.178631,-0.367951,114.728,115.483,100.033
4596,-0.566084,0.210312,-0.433209,114.709,115.444,100.039
4599,-0,0,0,114.727,115.484,100.035
4600,-0,0,0,114.708,115.445,100.041
