GlobalNodeID,velocity:0,velocity:1,velocity:2,Points:0,Points:1,Points:2
1473,-1.56347,0.481771,-1.36692,108.1,118.752,89.0436
1475,-0,0,0,108.114,118.716,89.0153
1476,-1.52907,0.471168,-1.33683,108.112,118.715,89.0168
1477,-0,0,0,108.102,118.753,89.0422
1599,-1.71736,0.529188,-1.50145,105.572,115.567,90.8249
1600,-1.74251,0.536939,-1.52344,105.594,115.545,90.7923
1603,-0,0,0,105.57,115.564,90.8259
1604,-0,0,0,105.592,115.542,90.7932
1625,-0,0,0,106.83,119.811,90.8601
1624,-1.57164,0.484287,-1.37406,106.861,119.817,90.8271
1626,-1.40339,0.432444,-1.22696,106.83,119.809,90.8592
1628,-0,0,0,106.861,119.82,90.8282
2039,-1.57834,0.48635,-1.37991,106.125,115.341,90.115
2040,-1.41128,0.434873,-1.23385,106.153,115.343,90.0845
2043,-0,0,0,106.125,115.338,90.1144
2044,-0,0,0,106.152,115.34,90.084
2441,-1.4583,0.449361,-1.27496,108.071,117.191,88.5362
2443,-0,0,0,108.059,117.15,88.5349
2444,-1.47476,0.454433,-1.28935,108.057,117.15,88.5371
2445,-0,0,0,108.072,117.19,88.534
2499,-0,0,0,108.108,117.313,88.5355
2498,-1.08694,0.33493,-0.95029,108.096,117.272,88.5354
2500,-1.10394,0.340168,-0.965149,108.107,117.314,88.5372
2502,-0,0,0,108.097,117.272,88.5338
3039,-1.66361,0.512626,-1.45446,105.32,118.139,92.0046
3041,-0,0,0,105.331,118.187,92.0086
3042,-1.65202,0.509054,-1.44433,105.333,118.186,92.0062
3043,-0,0,0,105.318,118.14,92.0069
3325,-0,0,0,105.606,118.852,91.9249
3324,-1.54491,0.47605,-1.35068,105.634,118.886,91.9051
3326,-1.66343,0.512572,-1.45431,105.607,118.85,91.9226
3328,-0,0,0,105.633,118.888,91.9072
3665,-1.25799,0.387637,-1.09983,105.705,115.452,90.6327
3667,-0,0,0,105.682,115.465,90.6645
3668,-1.48385,0.457235,-1.2973,105.683,115.468,90.6639
3669,-0,0,0,105.705,115.45,90.6331
4117,-0,0,0,107.591,119.577,89.9112
