GlobalNodeID,velocity:0,velocity:1,velocity:2,Points:0,Points:1,Points:2
1469,-15.3653,5.60791,-12.0621,116.487,116.808,98.402
1470,-16.2024,5.91341,-12.7192,116.037,116.755,98.9516
1473,-0,0,0,116.511,116.907,98.4117
1474,-0,0,0,116.042,116.856,98.987
3029,-14.1125,5.15066,-11.0786,117.237,115.227,96.649
3031,-0,0,0,117.147,114.619,96.4436
3032,-13.8675,5.06124,-10.8863,117.094,114.626,96.5032
3033,-0,0,0,117.294,115.241,96.587
3832,-15.3074,5.58678,-12.0167,115.567,116.502,99.4338
3833,-0,0,0,115.104,116.111,99.8399
3834,-14.8112,5.40566,-11.6271,115.137,116.051,99.7728
3836,-0,0,0,115.55,116.585,99.4875
4029,-15.1682,5.53597,-11.9074,114.349,114.099,99.8724
4031,-0,0,0,114.454,114.81,100.07
4032,-15.8861,5.79798,-12.4709,114.514,114.794,99.9912
4033,-0,0,0,114.286,114.091,99.9456
4403,-14.5301,5.30307,-11.4064,115.892,112.5,97.0225
4404,-13.8659,5.06067,-10.885,116.287,112.924,96.6854
4407,-0,0,0,115.912,112.424,96.9716
4408,-0,0,0,116.322,112.87,96.6281
5039,-15.8286,5.77698,-12.4258,116.862,116.64,97.8408
5042,-0,0,0,116.908,116.732,97.8229
5370,-0,0,0,114.733,115.497,100.032
5371,-14.2355,5.19554,-11.1752,114.777,115.463,99.9623
6217,-0,0,0,115.482,112.122,97.4115
6218,-14.3521,5.23811,-11.2667,115.487,112.215,97.4414
6664,-0,0,0,117.173,116.337,97.2945
6665,-13.9038,5.07451,-10.9148,117.12,116.275,97.3315
6865,-16.502,6.02275,-12.9544,114.72,112.447,98.5808
6867,-0,0,0,114.38,112.802,99.2053
6868,-15.8462,5.78341,-12.4396,114.439,112.873,99.1555
6869,-0,0,0,114.673,112.35,98.6024
7809,-15.3863,5.61557,-12.0786,116.86,114.039,96.4806
7811,-0,0,0,116.649,113.428,96.4596
7812,-14.8281,5.41183,-11.6404,116.603,113.465,96.5224
7813,-0,0,0,116.913,114.014,96.4164
7840,-0,0,0,117.298,115.816,96.8768
7841,-15.7749,5.75741,-12.3837,117.233,115.77,96.9348
8180,-0,0,0,115.041,112.141,98.012
8181,-13.4943,4.92504,-10.5933,115.069,112.227,98.0107
10220,-0,0,0,114.223,113.382,99.6833
10221,-14.5153,5.29769,-11.3949,114.287,113.421,99.6236
11629,-33.677,12.2912,-26.4372,116.456,116.686,98.3899
11630,-35.4527,12.9392,-27.8312,116.031,116.629,98.9074
12409,-30.9989,11.3137,-24.3348,117.165,115.208,96.7266
12411,-30.4732,11.1219,-23.9222,117.028,114.634,96.5775
12811,-33.5525,12.2457,-26.3394,115.589,116.398,99.3666
12812,-32.4918,11.8586,-25.5068,115.179,115.977,99.6891
12909,-33.253,12.1364,-26.1043,114.428,114.108,99.781
12911,-34.7841,12.6952,-27.3063,114.589,114.774,99.8931
13096,-31.8915,11.6395,-25.0356,115.867,112.595,97.086
13097,-30.4692,11.1204,-23.919,116.243,112.991,96.7572
13414,-34.6594,12.6497,-27.2084,116.805,116.525,97.8631
13580,-31.2637,11.4104,-24.5427,114.833,115.42,99.8745
14003,-31.5123,11.5011,-24.7379,115.494,112.331,97.4788
14227,-30.553,11.151,-23.9848,117.053,116.198,97.3778
14327,-36.0911,13.1723,-28.3323,114.78,112.567,98.5538
14329,-34.6949,12.6626,-27.2362,114.513,112.962,99.0934
14799,-33.7204,12.307,-26.4713,116.794,114.07,96.5608
14801,-32.5296,11.8724,-25.5364,116.545,113.511,96.601
14815,-34.5472,12.6087,-27.1203,117.151,115.713,97.0072
14985,-29.6731,10.8298,-23.294,115.104,112.334,98.009
16005,-31.8596,11.6279,-25.0105,114.368,113.471,99.549
17076,-55.1606,20.1321,-43.3023,116.418,116.532,98.3748
17077,-57.9575,21.1529,-45.498,116.024,116.471,98.8521
17856,-50.9291,18.5877,-39.9805,117.075,115.185,96.8236
17858,-50.094,18.2829,-39.3249,116.945,114.644,96.6705
18258,-54.9673,20.0615,-43.1505,115.615,116.268,99.2826
18259,-53.2912,19.4498,-41.8347,115.23,115.884,99.5844
18356,-54.4956,19.8893,-42.7802,114.527,114.121,99.6666
18358,-56.905,20.7687,-44.6717,114.683,114.749,99.7704
18543,-52.3411,19.103,-41.0889,115.836,112.714,97.1655
18544,-50.0844,18.2794,-39.3173,116.188,113.075,96.8468
18861,-56.7067,20.6964,-44.516,116.734,116.38,97.8911
19027,-51.349,18.7409,-40.3101,114.902,115.366,99.7647
19450,-51.743,18.8848,-40.6195,115.502,112.476,97.5255
19674,-50.2207,18.3291,-39.4243,116.97,116.102,97.4357
19774,-58.9567,21.5175,-46.2823,114.854,112.718,98.5201
19776,-56.7657,20.7179,-44.5623,114.605,113.073,99.0157
20246,-55.2314,20.1579,-43.3579,116.712,114.109,96.6611
20248,-53.3529,19.4723,-41.8832,116.472,113.568,96.6992
20262,-56.5322,20.6327,-44.379,117.049,115.642,97.0978
20432,-48.821,17.8183,-38.3255,115.148,112.468,98.0069
21452,-52.2923,19.0852,-41.0506,114.469,113.533,99.4557
21798,-118.948,43.4128,-93.3772,115.485,113.048,97.8455
21812,-130.645,47.6816,-102.559,115.464,115.469,99.0849
21813,-163.074,59.5175,-128.017,115.279,114.614,98.9038
21814,-174.853,63.8165,-137.264,115.736,115.145,98.5733
21832,-109.434,39.9405,-85.9085,115.192,113.023,98.228
21848,-155.85,56.8808,-122.346,115.416,113.518,98.1808
21849,-163.769,59.771,-128.562,115.809,113.685,97.7348
21850,-161.561,58.965,-126.829,116.194,114.161,97.4721
21851,-188.363,68.7471,-147.869,115.929,114.336,97.9065
21856,-124.393,45.4001,-97.6515,115.052,113.354,98.577
21857,-170.765,62.3244,-134.054,115.324,113.971,98.529
21859,-183.141,66.8414,-143.77,115.628,114.004,98.1461
21860,-190.327,69.464,-149.411,115.653,114.501,98.3625
21867,-107.629,39.2817,-84.4915,115.058,115.068,99.4103
21872,-107.198,39.1241,-84.1525,114.818,114.318,99.3637
21918,-128.04,46.731,-100.514,115.876,115.829,98.728
