GlobalNodeID,velocity:0,velocity:1,velocity:2,Points:0,Points:1,Points:2
3746,-12.0251,4.38504,-9.4967,117.286,115.408,96.6828
3747,-0,0,0,117.297,115.826,96.8836
3748,-9.7378,3.55098,-7.69036,117.281,115.816,96.8972
3750,-0,0,0,117.305,115.416,96.6635
3887,-12.1423,4.42781,-9.58931,114.29,114.014,99.9047
3889,-0,0,0,114.336,114.404,100.029
3890,-12.2047,4.45057,-9.6386,114.354,114.404,100.008
3891,-0,0,0,114.272,114.011,99.9248
6159,-10.5144,3.83417,-8.30367,115.305,112.099,97.6361
6161,-0,0,0,115.045,112.139,98.0056
6162,-11.6363,4.24329,-9.1897,115.055,112.166,98.0037
6163,-0,0,0,115.299,112.072,97.6319
7137,-12.7953,4.66592,-10.105,114.844,112.317,98.3603
7140,-0,0,0,114.833,112.288,98.3623
7932,-0,0,0,117.22,116.179,97.1583
7933,-11.0076,4.01402,-8.69318,117.203,116.164,97.1713
9790,-10.8167,3.94441,-8.54242,116.376,112.991,96.6067
9791,-0,0,0,116.607,113.345,96.4748
9792,-11.2061,4.08641,-8.84994,116.593,113.356,96.4935
9794,-0,0,0,116.388,112.976,96.5892
11917,-0,0,0,114.61,115.225,100.064
11918,-11.9211,4.34714,-9.41461,114.624,115.217,100.044
11956,-12.8154,4.67326,-10.1209,116.922,116.681,97.782
11957,-0,0,0,116.733,116.843,98.0981
11958,-8.68225,3.16606,-6.85675,116.726,116.823,98.0992
11960,-0,0,0,116.936,116.709,97.7752
13053,-0,0,0,116.509,116.907,98.4139
13054,-12.9862,4.73552,-10.2557,116.502,116.876,98.4115
13549,-12.0843,4.40667,-9.54352,114.445,112.649,99.043
13551,-0,0,0,114.338,112.954,99.3341
13552,-12.2785,4.47746,-9.69684,114.356,112.972,99.3198
13553,-0,0,0,114.428,112.629,99.0566
13815,-0,0,0,114.456,114.817,100.07
13816,-13.4369,4.89988,-10.6117,114.474,114.812,100.047
15849,-0,0,0,116.143,112.643,96.7638
15850,-11.3127,4.12526,-8.93409,116.133,112.664,96.7809
16198,-0,0,0,114.587,112.364,98.7189
16199,-10.4672,3.81696,-8.2664,114.599,112.387,98.715
17281,-10.1887,3.71539,-8.04644,116.267,116.882,98.7138
17284,-0,0,0,116.27,116.906,98.7191
17402,-12.3771,4.51341,-9.7747,114.246,113.633,99.7767
17403,-0,0,0,114.238,113.26,99.607
17404,-10.4186,3.79923,-8.22801,114.254,113.273,99.5928
17406,-0,0,0,114.226,113.625,99.7966
19473,-12.4885,4.55403,-9.86268,115.517,116.528,99.5057
19475,-0,0,0,115.77,116.732,99.2764
19476,-12.6867,4.62633,-10.0192,115.772,116.706,99.2631
19477,-0,0,0,115.511,116.551,99.5219
21642,-13.2006,4.8137,-10.4251,115.586,112.21,97.3117
21643,-0,0,0,115.866,112.392,97.0196
21644,-11.3668,4.145,-8.97684,115.861,112.415,97.0342
21646,-0,0,0,115.586,112.179,97.2977
21661,-10.21,3.72317,-8.06328,114.807,115.613,99.9916
21663,-0,0,0,115.015,115.987,99.8967
21664,-11.1973,4.08319,-8.84298,115.026,115.973,99.8781
21665,-0,0,0,114.797,115.622,100.009
22371,-0,0,0,116.024,116.85,99.0063
22372,-10.2164,3.7255,-8.06833,116.023,116.827,98.9984
22859,-11.1721,4.07401,-8.82309,117.117,114.565,96.451
22861,-0,0,0,116.977,114.146,96.4063
22862,-12.986,4.73546,-10.2556,116.959,114.154,96.4281
22863,-0,0,0,117.133,114.563,96.4318
23959,-0,0,0,117.248,114.982,96.5093
23960,-11.2765,4.11208,-8.90554,117.231,114.981,96.5291
26757,-0,0,0,116.787,113.747,96.4377
26758,-13.5872,4.95469,-10.7304,116.769,113.757,96.4599
27234,-0,0,0,117.11,116.494,97.4509
27235,-12.3374,4.49892,-9.74333,117.093,116.472,97.4631
27505,-0,0,0,115.257,116.297,99.7307
27506,-13.4565,4.90702,-10.6271,115.267,116.276,99.7105
29432,-26.8536,9.79239,-21.2074,117.262,115.398,96.7069
29433,-21.7713,7.93912,-17.1938,117.262,115.802,96.9143
